index,loss rate,depolarizing rate,gate error rate,memory error,measurement error,number of hops,trajectory,experiment,fidelity,total time,fidelity estimation time,fidelity estimated edges,label resource produced,base Bell pairs attempted,distance,XX commute,XX anti-commute,YY commute,YY anti-commute,ZZ commute,ZZ anti-commute
2,0.3,0.025,0.0,0.01,0.005,2,0,1-2G-DirectedEncoded,0.48583333333333334,20.886573333301165,20.884219999967854,"Node 0, Node 2",9001,2170713,100,2015,985,1890,1110,2010,990
2,0.3,0.025,0.0,0.01,0.005,2,0,HG-END2ENDPurifiedEncoded,0.8263333333333334,35.00493333317127,35.00216999983799,"Node 0, Node 2",9001,3467100,100,2838,162,2491,509,2629,371
2,0.3,0.025,0.0,0.01,0.005,2,0,2G-NonLocalCNOT,0.30083333333333334,42.54062666645105,42.53780333311774,"Node 0, Node 2",9001,3989889,100,1638,1362,1558,1442,1609,1391
2,0.3,0.025,0.0,0.01,0.005,2,1,0G,0.6693333333333333,5.346966666670513,5.345643333337177,"Node 0, Node 2",9001,570005,100,2392,608,2254,746,2370,630
2,0.3,0.025,0.0,0.01,0.005,2,1,E2E-1G-Ss-Dp,0.5741666666666667,34.952446666504876,34.95065999983819,"Node 0, Node 2",9001,3470580,100,2216,784,2119,881,2110,890
2,0.3,0.025,0.0,0.01,0.005,2,1,1G-Ss-Dp,0.45033333333333336,21.25351333329755,21.251676666630907,"Node 0, Node 2",9001,2211972,100,1944,1056,1844,1156,1914,1086
2,0.3,0.025,0.0,0.01,0.005,2,1,1-2G-DirectedEncoded,0.48116666666666663,21.072853333299307,21.070529999965995,"Node 0, Node 2",9001,2193359,100,2022,978,1898,1102,1967,1033
2,0.3,0.025,0.0,0.01,0.005,2,1,HG-END2ENDPurifiedEncoded,0.8133333333333334,36.07311999982878,36.07061333316219,"Node 0, Node 2",9001,3573660,100,2818,182,2481,519,2581,419
2,0.3,0.025,0.0,0.01,0.005,2,1,2G-NonLocalCNOT,0.3101666666666667,42.23534999978644,42.23077999978646,"Node 0, Node 2",9001,3977565,100,1675,1325,1508,1492,1678,1322
2,0.3,0.025,0.0,0.01,0.005,2,2,0G,0.6658333333333333,5.309923333337169,5.309580000003836,"Node 0, Node 2",9001,562547,100,2385,615,2269,731,2341,659
2,0.3,0.025,0.0,0.01,0.005,2,2,E2E-1G-Ss-Dp,0.5931666666666667,35.445333333167206,35.44307999983392,"Node 0, Node 2",9001,3506035,100,2274,726,2128,872,2157,843
